	X	idx	beta	pval	cilb	ciub	i2	tau2	symbol.x	TE.fixed	lower.fixed	upper.fixed	pval.fixed	TE.random	lower.random	upper.random	pval.random	symbol.y
13	ENSG00000007968.6	24532	2.10237420560901	2.68491442885073e-08	1.36137399785925	2.84337441335877	98.3671550032572	3.04635796566263	E2F2	1.04980115885193	1.01130199007463	1.0897659491855	0.0107870028879993	1.05532259588622	0.962135087262991	1.15753577239993	0.253621217759827	E2F2
21	ENSG00000012048.18	28561	1.04460850348569	7.49816670006497e-11	0.730124846637433	1.35909216033394	97.9721324217699	0.537054210909903	BRCA1	1.10091966368528	1.04569097036388	1.15906528815789	0.000250887921290677	1.11455020788065	0.99509936405291	1.24833982490691	0.0607889117984809	BRCA1
28	ENSG00000015171.17	34667	-0.511191051644701	2.01935969738625e-10	-0.668728456715956	-0.353653646573446	97.4593904014535	0.133085953603115	ZMYND11	0.860990219703953	0.795041964225025	0.932408843536271	0.000232097477132469	0.849753905410914	0.756588616766317	0.954391440420159	0.00599892021182748	ZMYND11
76	ENSG00000069702.9	49098	-2.0401642344462	4.18658064448683e-20	-2.47559739527902	-1.60473107361339	98.0896305660232	1.04675069868881	TGFBR3	0.944140144577884	0.914791074788994	0.974430815046112	0.000360304070775668	0.947420642486266	0.891710034827631	1.00661183428602	0.08066660578247	TGFBR3
116	ENSG00000080503.18	25652	-0.787596765752443	3.81474554666201e-22	-0.947132404000314	-0.628061127504573	96.1865950943333	0.133108244098486	SMARCA2	0.880897585367058	0.835782687966732	0.928447749729413	2.27022574340934e-06	0.867394436439609	0.788749647859093	0.953880753428615	0.00335012895842958	SMARCA2
117	ENSG00000080839.10	41709	0.860445602885541	1.60243342763158e-08	0.561971804834883	1.1589194009362	98.6615563956668	0.501211861548077	RBL1	1.10218583998902	1.03662809831415	1.17188954056709	0.00187256666278136	1.11221333914363	0.975257110757102	1.26840245318357	0.112677239717902	RBL1
120	ENSG00000082175.13	26745	-2.40910832852956	2.70407625694041e-10	-3.15683134815034	-1.66138530890879	98.5691938559255	3.21009627889748	PGR	0.973872371678831	0.956719935169676	0.991332323551037	0.00349843759009629	0.980059448120776	0.950687201225854	1.01033917424393	0.194491088514664	PGR
138	ENSG00000088038.16	51289	0.329594197688931	2.84795193448587e-10	0.227166825457366	0.432021569920496	94.8463899188174	0.0535443826763465	CNOT3	1.15881390095166	1.0523918572693	1.27599776429587	0.00270915676442046	1.1901598679764	0.99191552667454	1.42802534414442	0.0611172114972914	CNOT3
139	ENSG00000088305.17	48885	1.28262595538444	1.3587275015523e-12	0.927965736193869	1.63728617457501	98.0371555516226	0.713625113798212	DNMT3B	1.0979386458323	1.05619086387681	1.14133658152213	2.3125878524564e-06	1.12084826458676	1.04248726207294	1.20509945582361	0.00203414679987159	DNMT3B
141	ENSG00000089220.4	7753	-0.669474893807284	7.96955448724906e-05	-1.00205849821675	-0.336891289397814	99.09711461981	0.635350283078532	PEBP1	0.869448383121814	0.815622544495663	0.926826380676577	1.78302561013322e-05	0.859089243513339	0.762719414838226	0.967635429179233	0.0123523994179464	PEBP1
147	ENSG00000091831.20	36017	-1.51517481020943	3.19200599551011e-06	-2.15271210975769	-0.877637510661173	98.7025499732405	2.33520287057113	ESR1	0.964879649978251	0.943015502157645	0.987250725796147	0.00223434495626251	0.963992754948323	0.930155156979131	0.999061312105059	0.0442751672926441	ESR1
149	ENSG00000095002.11	47942	0.564637971422378	5.97152439280742e-06	0.3201993752657	0.809076567579057	98.5060627449944	0.339508839523432	MSH2	1.10853752127106	1.03419486561255	1.1882242669402	0.00362257051173398	1.14961025245187	0.976662288897068	1.35318394860411	0.0937220275661372	MSH2
174	ENSG00000101115.11	36027	2.02391348567274	2.11908529346509e-06	1.18734041342731	2.86048655791817	97.9652322554857	3.96245186861019	SALL4	1.04299780271007	1.02286413561378	1.06352777322207	2.30524711147872e-05	1.04747984116859	1.01810602215918	1.07770113698731	0.0013912559234927	SALL4
177	ENSG00000101412.12	55921	2.03527217901339	3.87212254093371e-19	1.58909639939329	2.48144795863348	98.0067804003525	1.07252200087784	E2F1	1.08305101369805	1.04006092178823	1.12781806690283	0.000113052375129439	1.09338876122293	0.998778723189053	1.19696080364171	0.0531746723511472	E2F1
189	ENSG00000103175.9	53810	-1.32546093274327	4.51336326948002e-09	-1.76846442503897	-0.882457440447568	96.4950582183997	0.982085870575884	WFDC1	0.966543324138984	0.939289531953479	0.994587893995509	0.0197094538481814	0.969508176632576	0.934952668419007	1.00534084377433	0.0944641872644449	WFDC1
193	ENSG00000103479.13	39887	-0.482945797965039	1.16217489779688e-09	-0.638491849545603	-0.327399746384474	95.8825331816068	0.120646114871785	RBL2	0.929306788830286	0.874748962342709	0.987267370347233	0.0175448383039409	0.9348223833433	0.862060667112971	1.01372550881634	0.103052675055332	RBL2
209	ENSG00000105185.10	59766	0.696172914983085	4.68267010295134e-26	0.566932543154214	0.825413286811956	94.1654238329677	0.0867074325452346	PDCD5	1.1004429354555	1.03207894033173	1.17333530108141	0.00344610444606649	1.09265259971638	0.957637640863273	1.24670298317714	0.187928772630044	PDCD5
218	ENSG00000105856.12	28606	-0.380490361881429	4.53379944526888e-07	-0.528307723826589	-0.232672999936268	94.163542069784	0.105668260500859	HBP1	0.903708383645491	0.844502632673587	0.967064886565971	0.00340413181991132	0.934942661649358	0.830233496190802	1.05285776180138	0.266987776945717	HBP1
224	ENSG00000106462.9	25792	1.89849355615873	1.45622100733669e-14	1.41470431195869	2.38228280035877	98.6652618858328	1.3138618198765	EZH2	1.07324880030179	1.0222533908646	1.12678813065616	0.0044259105276291	1.13344805888939	0.992203887210344	1.2947989004681	0.0650805043543802	EZH2
229	ENSG00000106638.14	27006	0.462278944621786	1.28713424892135e-08	0.30298083377584	0.621577055467733	98.0511785900735	0.144176668121181	TBL2	1.17392697116731	1.08035030733547	1.27560896153486	0.000154661680449197	1.18145304055935	1.06875008563373	1.30604086568963	0.00111481899376691	TBL2
231	ENSG00000107104.17	32345	-0.798037149078449	1.0526796793906e-08	-1.07138911537242	-0.524685182784482	97.5906171752162	0.394866636576814	KANK1	0.942752421686986	0.901901516815413	0.985453635486653	0.00909960883539452	0.935812049179477	0.888504130999945	0.985638851677489	0.0121935367202767	KANK1
251	ENSG00000109339.17	45533	-1.42896719619081	8.00078858140351e-10	-1.88474658958211	-0.973187802799505	98.8220737992784	1.15921173300966	MAPK10	0.970866077532316	0.945748751064438	0.996650473439286	0.0270466264826115	0.951706013427991	0.901024150037467	1.00523868972584	0.0762571842421923	MAPK10
256	ENSG00000110002.14	38583	-0.829674353583965	2.03624779576769e-07	-1.14263289339683	-0.516715813771101	98.4731729411556	0.56059494199371	VWA5A	0.949978645128955	0.915819669317025	0.985411709790047	0.00602340763582127	0.938425718191134	0.890188921473814	0.989276329236423	0.0182547632257594	VWA5A
277	ENSG00000112242.13	56428	0.69103697306641	1.65523922296128e-08	0.451091334050204	0.930982612082616	97.4917702472244	0.311805257406561	E2F3	1.12757848798473	1.0574100084062	1.20240326501384	0.00024942553807697	1.2300434089312	1.06399296820129	1.42200825858169	0.00513744342886226	E2F3
288	ENSG00000113594.8	45478	-2.06665607946482	6.9748589263056e-13	-2.63080825205406	-1.50250390687557	98.8997538870858	1.78077330975993	LIFR	0.948217607311168	0.920720901501332	0.97653548360726	0.000397971962514285	0.940775611581896	0.884731054788945	1.00037039115624	0.0513973930007313	LIFR
296	ENSG00000114346.12	30463	1.58759017335288	2.47694179861366e-12	1.14336495072531	2.03181539598046	99.0486944563659	1.13411053011833	ECT2	1.16665809106506	1.11409265639866	1.22170368293006	5.63736299311565e-11	1.20603794917528	1.08203766149852	1.34424852905446	0.000713538519166697	ECT2
300	ENSG00000114742.12	23979	-0.287241801012151	4.17375177722725e-09	-0.383033642732965	-0.191449959291337	95.3670752062691	0.0472983353910122	WDR48	0.81232213800751	0.736329703767671	0.896157322624181	3.3565537239964e-05	0.782824097115974	0.661021160783578	0.927071027951673	0.00454618897755264	WDR48
313	ENSG00000116016.12	50926	-0.960564368441528	6.66919199411092e-06	-1.37856596118633	-0.542562775696723	98.7295523034223	0.99030523203459	EPAS1	0.936554281856531	0.894133890641064	0.980987223552088	0.00557732287121857	0.953827541599133	0.873768275805148	1.04122226030089	0.290576828171733	EPAS1
321	ENSG00000116731.21	22300	-0.421380599847349	2.59524861125911e-09	-0.560061212849219	-0.282699986845479	96.2743836080112	0.10296831455653	PRDM2	0.899543942782084	0.830329605844062	0.974527825216318	0.00955330152381504	0.901624797960398	0.81155137408216	1.0016953975545	0.0538029955133422	PRDM2
336	ENSG00000118777.9	3138	-1.65546199507944	1.19201963605178e-05	-2.39641072838232	-0.914513261776557	99.2396479306789	3.20728907731868	ABCG2	0.95766641441609	0.92876726967756	0.987464773192286	0.00566017615098839	0.933975146439133	0.874806280822812	0.997145989104624	0.0408000972510388	ABCG2
347	ENSG00000120008.14	31651	-0.169124013997745	8.32190135566069e-07	-0.236392611688338	-0.101855416307153	88.2171966066018	0.019958725887648	WDR11	0.884170626291967	0.810639331379487	0.96437178179745	0.00545457716749978	0.890990711671136	0.798977855824704	0.99360006350215	0.0379483384792222	WDR11
362	ENSG00000121691.4	57114	-1.19185660700542	9.8207983721512e-08	-1.63012905505626	-0.753584158954579	98.9857929379526	1.08564659843188	CAT	0.903980147706872	0.855971236021745	0.954681738192636	0.00028823114145949	0.928284445573263	0.837727271095271	1.02863072699857	0.155329819421515	CAT
364	ENSG00000122025.13	5990	-1.33933524654242	3.44758124112689e-09	-1.78360152089443	-0.895068972190407	94.4275040893525	0.954820459977619	FLT3	0.954770135798608	0.938633219893889	0.971184476419816	1.02684989780556e-07	0.95815333530462	0.937267338786663	0.979504753834521	0.000143791188917175	FLT3
365	ENSG00000122035.6	21351	-1.28036413042888	6.20706377820025e-17	-1.58049572043188	-0.980232540425871	95.6442556241598	0.452749261331877	RASL11A	0.964736051160714	0.934074211970322	0.996404393229025	0.029365283321514	0.964736051160714	0.934074211970322	0.996404393229025	0.029365283321514	RASL11A
366	ENSG00000122133.15	33233	4.00650243048623	1.71808735999658e-06	2.36508538223399	5.64791947873846	96.9420704139696	14.6587816035458	PAEP	1.03331374617026	1.02407997063325	1.04263077947337	8.3356222384404e-13	1.03386096702711	1.01969225957279	1.04822654983186	2.24833027873944e-06	PAEP
375	ENSG00000123374.9	10764	0.69480448614427	4.76123476464078e-05	0.359969092072879	1.02963988021566	99.3534498040242	0.638863147842138	CDK2	1.20576015305503	1.12175544990008	1.29605570164585	3.80885061860696e-07	1.25243800612114	1.06087570976499	1.4785907008128	0.00786742453057661	CDK2
380	ENSG00000124571.16	16025	0.676601147469424	1.14433281663468e-11	0.481212890228166	0.871989404710682	98.7126075754021	0.218396009167577	XPO5	1.22985283014143	1.14273402212485	1.32361332954314	3.40402857698108e-08	1.25036799171912	1.07819689172965	1.45003211074711	0.00311620655814818	XPO5
384	ENSG00000124813.19	13444	0.721454336164189	3.60124396715096e-05	0.379214583336096	1.06369408899228	96.7081399946427	0.646098604475959	RUNX2	1.05867671133101	1.02336754985979	1.09520414172621	0.000985576966367079	1.05810533660524	0.991554316179304	1.12912312022051	0.0883688497864788	RUNX2
406	ENSG00000128594.6	58096	-0.902714481799215	6.17683041943068e-05	-1.34437929980285	-0.46104966379558	96.8109667806116	1.03413431060957	LRRC4	0.965147731524263	0.941972602395696	0.988893032873083	0.00422779581919573	0.96563583189925	0.926264555433569	1.00668060153861	0.0996690907309383	LRRC4
412	ENSG00000129422.12	21816	-0.579370483816894	4.41501948508344e-05	-0.857376031407316	-0.301364936226472	98.3602406348756	0.418962692514865	MTUS1	0.922447861522113	0.88101174040923	0.965832824011484	0.000576364124498716	0.937353158333806	0.864300402135512	1.01658050981747	0.118114026259146	MTUS1
418	ENSG00000129993.13	51735	-0.981211627719843	2.26274704922575e-05	-1.4350766826549	-0.527346572784785	98.1587628676278	1.14200701159742	CBFA2T3	0.945330269557431	0.916770989637818	0.974779229101231	0.000328132064204834	0.938068456458579	0.887829337390768	0.991150429415547	0.0228173746108547	CBFA2T3
440	ENSG00000132382.13	53299	0.403382179571595	2.64515231304788e-06	0.235044889820404	0.571719469322785	97.3430717458303	0.156219280748123	MYBBP1A	1.09988464124874	1.02079225113679	1.18510521872364	0.0124036896305623	1.11608529517412	0.965125353050712	1.29065761475075	0.138548207946779	MYBBP1A
465	ENSG00000134917.9	54722	-2.12778448468031	2.28898230656052e-08	-2.87401353712771	-1.38155543223291	98.7573480350027	3.11750762394857	ADAMTS8	0.969741031511629	0.950940891459417	0.988912851096352	0.00209691181776378	0.96127419807218	0.921769804475909	1.00247163596848	0.06508598789506	ADAMTS8
481	ENSG00000136160.13	17617	-1.5475098056759	1.22874955071712e-06	-2.17276196248343	-0.922257648868373	99.0708695001366	2.18985108164911	EDNRB	0.936769065893142	0.907637567312185	0.966835567872081	5.06956126172486e-05	0.929510691141104	0.86829768978081	0.995039069105109	0.0354615319547922	EDNRB
487	ENSG00000136826.13	2798	-1.41641122515143	2.0429188593624e-10	-1.85303914658504	-0.979783303717814	97.1585130217697	1.03990008894138	KLF4	0.965278917051434	0.932720971869449	0.998973343374557	0.0435246177906764	0.955603939576792	0.896914439369919	1.01813378093923	0.160245796338337	KLF4
521	ENSG00000139618.13	2595	1.44055853533155	4.01712124093294e-16	1.0936149011745	1.7875021694886	96.9700126970836	0.646773435182858	BRCA2	1.06716494692721	1.01872229166096	1.11791116506673	0.00609656136574451	1.08281095772423	0.983596926460071	1.19203256804328	0.104664968719548	BRCA2
525	ENSG00000140350.14	24213	0.227948698896797	3.37331764498705e-06	0.131800062968233	0.324097334825361	95.4172894188942	0.0465637798655974	ANP32A	1.11473412598133	1.01337697155942	1.22622894194563	0.0255373995606436	1.11296091533485	0.985298217276641	1.25716455926075	0.0851239004448623	ANP32A
538	ENSG00000141646.12	20045	-0.365643672145135	7.1566627861869e-07	-0.510214836661353	-0.221072507628917	98.0042250262775	0.117034051483558	SMAD4	0.898327821821299	0.832539808736643	0.969314460389334	0.00572485215928269	0.857553643678098	0.740740975902671	0.992787324731729	0.0397003100741579	SMAD4
547	ENSG00000143416.19	18421	-1.66439801085685	2.25294342649608e-10	-2.17868879085389	-1.15010723085981	98.8978734983861	1.48761209037128	SELENBP1	0.952559731121039	0.926402628631105	0.979455382908571	0.000623485192732165	0.956025501414305	0.910054303641326	1.00431892437344	0.0736852680084113	SELENBP1
550	ENSG00000143761.12	13980	0.257365620447558	1.01672010734526e-06	0.154176441083467	0.360554799811649	96.1204340050412	0.0571333079823911	ARF1	1.11395971039616	1.01121882733106	1.22713917388293	0.0288203064769043	1.13801039067851	0.976136660736832	1.32672780501317	0.0986491226633989	ARF1
552	ENSG00000143799.11	58350	0.398511402665692	9.36544788409988e-05	0.198569227980284	0.5984535773511	98.4044956527394	0.217136033527829	PARP1	1.106147884162	1.02087596658185	1.19854241033107	0.0137110362333272	1.1280496997673	0.997495466306384	1.27569113657931	0.0548573526287719	PARP1
553	ENSG00000143878.9	48544	-1.13191222653803	1.15520829616066e-07	-1.55046335602495	-0.713361097051118	97.9408462455346	0.957597169066268	RHOB	0.94301765464104	0.904468998639195	0.983209262343589	0.00586652334270255	0.957925947804498	0.883283796777443	1.03887575524988	0.299028918142134	RHOB
571	ENSG00000145604.14	35324	0.824635151461664	2.11462165300563e-07	0.51315605910398	1.13611424381935	98.4227343744591	0.548185395262784	SKP2	1.07987851946406	1.02465478203447	1.13807853849519	0.004113115549525	1.13459060632515	1.00286739109006	1.28361521712462	0.0449161935607473	SKP2
588	ENSG00000147364.15	15734	-0.338415825040605	1.05021177102804e-05	-0.488937223005308	-0.187894427075903	97.2064158537525	0.124847855294763	FBXO25	0.883630422573491	0.828376755412137	0.942569571871845	0.000173168228076758	0.879206881443115	0.810352305526831	0.953911940652007	0.00197503134655646	FBXO25
604	ENSG00000149554.11	6272	1.29714169471096	1.53524782591067e-14	0.966302804842403	1.62798058457952	98.516393015476	0.611133235445289	CHEK1	1.14734628665123	1.08605227967571	1.21209957027616	9.25263832272597e-07	1.11147290627375	0.985011492522855	1.25417016020446	0.0863613120198359	CHEK1
606	ENSG00000149782.10	18411	0.527817176191515	6.4247348249425e-16	0.399800226161581	0.655834126221449	91.6994217490635	0.0714073353994784	PLCB3	1.12544511403176	1.05397263869651	1.20176431360158	0.000415200009654935	1.13739548960696	1.02098847843345	1.26707453326329	0.0194380129906952	PLCB3
611	ENSG00000150907.6	8361	-0.958771968780687	2.00074782536995e-08	-1.29362224819771	-0.62392168936366	98.5295026782282	0.634790137281388	FOXO1	0.906347252377318	0.86048974410413	0.954648614373847	0.000205649760888701	0.911200692574153	0.83797905047766	0.990820357232488	0.0295753461243174	FOXO1
641	ENSG00000156531.15	32439	0.386506902262626	2.97775988254146e-05	0.20506726618439	0.567946538340861	96.8691617005245	0.170054135656175	PHF6	1.10989576425733	1.03288902971459	1.19264371300058	0.0044831539017933	1.13685623426088	0.998960256002242	1.29378730496254	0.0518718287413862	PHF6
651	ENSG00000159388.5	57516	-1.10333155959799	1.48978779794793e-10	-1.44088217354287	-0.765780945653116	95.2177619804081	0.603401849627499	BTG2	0.918411123127029	0.882063222779813	0.956256841119886	3.61295991659776e-05	0.928873053042828	0.863778296627818	0.998873382252701	0.0465498933565267	BTG2
679	ENSG00000163191.5	41319	1.19658138869855	4.92544966672647e-09	0.795660337149485	1.59750244024762	98.3701856754369	0.891388534835062	S100A11	1.0838245631014	1.03681257877757	1.13296820237937	0.000374000200185183	1.06763190821631	0.976283447895929	1.16752762110037	0.151567948262805	S100A11
690	ENSG00000163743.12	41242	-0.258075497372792	6.12030199453228e-05	-0.384273862816182	-0.131877131929403	95.9359691231769	0.0845364714982024	RCHY1	0.828166137250432	0.761227896201912	0.900990563155058	1.16224013143511e-05	0.822581314368337	0.716563372048165	0.944284965074184	0.00553245717458891	RCHY1
694	ENSG00000163939.17	13377	-0.298716233937078	7.9617018360955e-09	-0.400197591614111	-0.197234876260046	90.9889528082558	0.0483150816511977	PBRM1	0.920873294996508	0.853332905466872	0.993759434336786	0.0339184225590299	0.921370937074034	0.815395744524373	1.04111949244948	0.18898406201676	PBRM1
698	ENSG00000164120.12	57468	-2.3039610971445	3.67772915036341e-09	-3.06958087449116	-1.53834131979783	98.3184812102189	3.28448057168629	HPGD	0.973993020493913	0.956895899884291	0.991395620030946	0.00354146533871204	0.980896178393965	0.950294042445804	1.01248378902971	0.232959089322818	HPGD
716	ENSG00000165795.19	10785	-1.51181859296966	1.46592552140668e-17	-1.8592016139868	-1.16443557195251	98.4585777381738	0.680418355614116	NDRG2	0.883012307043402	0.851468329149714	0.915724881004956	2.03521907455532e-11	0.862594480679106	0.800039813692573	0.930040262201221	0.000118997543898088	NDRG2
728	ENSG00000166501.11	42383	-1.3839359697055	1.30619118118994e-06	-1.94450042562557	-0.823371513785425	98.0156478515815	1.69743801890724	PRKCB	0.934115141147804	0.908493295910204	0.960459588254162	1.56292696780304e-06	0.936327040068992	0.897492273481061	0.976842198946084	0.00233415490245443	PRKCB
730	ENSG00000166598.11	48272	0.361745070334413	2.10257961335804e-05	0.195065306293585	0.528424834375241	97.0793468980114	0.152600832142573	HSP90B1	1.21744713478787	1.12870238878025	1.31316947738982	3.48568268226616e-07	1.2350433096199	1.09176973203653	1.39711876220603	0.000792059157373895	HSP90B1
733	ENSG00000166851.13	12241	2.39944223784806	7.56216897363601e-21	1.89730441776421	2.9015800579319	97.9925605416239	1.38313281203731	PLK1	1.245790165455	1.19595985299728	1.29769668476314	4.97398965843145e-26	1.23384094107089	1.11029705407659	1.3711316825287	9.47570657780957e-05	PLK1
736	ENSG00000166946.12	57603	-0.353308582939789	1.25518177757866e-05	-0.511849705887307	-0.194767459992269	97.981519058817	0.144618322191856	CCNDBP1	0.865014659394865	0.801160871706079	0.933957694881689	0.000210356654907171	0.884980636625028	0.74692742190889	1.04854997182949	0.157923866406684	CCNDBP1
782	ENSG00000171862.8	40590	-0.466678287818083	3.64959515133532e-11	-0.604895472888389	-0.328461102747776	96.5062450458872	0.105877235933054	PTEN	0.92190622370193	0.861929809060951	0.986056029581234	0.0178317415155131	0.916688196415151	0.821780413022079	1.02255692169227	0.118772353587742	PTEN
784	ENSG00000172201.9	36529	-1.28482871694115	2.14524743183887e-06	-1.81618390055624	-0.753473533326057	98.5721780758679	1.58173516447469	ID4	0.952552242785267	0.927867627050712	0.977893558070705	0.000284860584718312	0.946896957512495	0.911859237925386	0.983280983352594	0.00456253227020098	ID4
789	ENSG00000172977.11	6308	-0.223345777270429	2.08044863716655e-05	-0.326198628706788	-0.12049292583407	96.415016020795	0.0546660636473546	KAT5	0.872314795014316	0.800963031137984	0.950022750138364	0.00170392772075167	0.913066584290026	0.787817638681039	1.05822787713006	0.226992853297959	KAT5
798	ENSG00000174282.10	45043	-0.619710087873952	2.49039883472583e-06	-0.877648416104643	-0.361771759643262	98.874637366669	0.37095031291147	ZBTB4	0.871652623772508	0.807914288996519	0.940419431711241	0.000391838969519284	0.836983515478844	0.706872706602112	0.99104322269108	0.0389858667787863	ZBTB4
809	ENSG00000175662.16	19744	-0.680473129449963	6.40517027408391e-07	-0.948361203320201	-0.412585055579724	98.5073129219361	0.410653982500574	TOM1L2	0.916940813358203	0.865037086887752	0.971958853494919	0.0035384560554548	0.883574974503035	0.778959168750651	1.00224089642617	0.0542105858718232	TOM1L2
816	ENSG00000176887.6	27814	3.34146352722684	3.15305895758638e-09	2.23582803160142	4.44709902285227	96.8685257137799	6.59177276487342	SOX11	1.05415227120126	1.03789723875353	1.07066188191551	2.90466697214905e-11	1.05629219877097	1.03065660375675	1.0825654297634	1.24905882631176e-05	SOX11
822	ENSG00000178175.10	46430	-1.27264001985734	2.72160687423406e-08	-1.72138432544064	-0.823895714274038	96.9980225240256	1.07334777817246	ZNF366	0.964828200199946	0.942908572016452	0.987257390088532	0.00226015317757856	0.975478366225085	0.93243419016897	1.02050960057645	0.280923951715457	ZNF366
837	ENSG00000179796.10	31691	-3.14418550518115	1.77609709367468e-06	-4.43412127512954	-1.85424973523276	97.7702330556781	8.77959925117942	LRRC3B	0.988017228562091	0.97802508055576	0.99811146292977	0.0201012349652555	0.990112052251365	0.975407008293424	1.00503878655597	0.19304743247901	LRRC3B
840	ENSG00000180900.15	15781	0.650278745572564	3.81720009471453e-11	0.457490666849436	0.843066824295691	96.5653065068548	0.207410934657345	SCRIB	1.08048774119688	1.02007891652807	1.14447396173059	0.0083589456697249	1.10087713337887	1.00768930279892	1.2026826715638	0.0331960091252677	SCRIB
843	ENSG00000181163.12	44537	0.417280551867816	9.73748700812942e-06	0.232367763572933	0.6021933401627	97.9169798523294	0.186085340930024	NPM1	1.17738923558632	1.09743316244118	1.26317069641937	5.33565888180604e-06	1.19837127031281	1.05789454315553	1.3575017574318	0.00444568830063917	NPM1
844	ENSG00000181555.18	46545	-0.224430649129154	1.13649662212627e-05	-0.324643268718548	-0.12421802953976	93.4683299931504	0.0511354315919533	SETD2	0.879609619152572	0.805487735352083	0.960552281739632	0.00428951239765813	0.878886861912907	0.788391445094221	0.979769784222865	0.0198800070019021	SETD2
860	ENSG00000183814.14	50487	0.712250239265046	5.35447818405953e-08	0.455593802624034	0.968906675906058	97.9787833163252	0.35995623972316	LIN9	1.09634715487321	1.03167614538341	1.16507209106	0.00302426861348897	1.14403580329678	1.00814727143787	1.29824079904338	0.0370025078512404	LIN9
864	ENSG00000184481.15	33783	-0.820922111741555	1.44230897766356e-13	-1.03857586172938	-0.603268361753731	98.1428524471519	0.264863225588239	FOXO4	0.886978301730953	0.834032222132172	0.943285507279658	0.000133868904167769	0.880367568990232	0.806901948869957	0.960521978680561	0.00415774687728883	FOXO4
867	ENSG00000184828.8	26098	-1.11276493007974	9.38088053367377e-06	-1.60497717142973	-0.620552688729762	98.3380818128655	1.33833513620482	ZBTB7C	0.969264403661482	0.949229276519114	0.989722406846066	0.00339655573114503	0.973280070031947	0.937227046136339	1.01071997295263	0.15963635904638	ZBTB7C
871	ENSG00000185345.17	9202	-1.5949647066339	2.37196766360718e-14	-2.00474457023305	-1.18518484303475	98.7035517568093	0.944912699573091	PARK2	0.958590838425347	0.928375887743285	0.989789165837429	0.00965241418288454	0.937725048493643	0.87020183406909	1.0104877192233	0.0917307181368273	PARK2
883	ENSG00000186951.15	1365	-0.613093711820719	2.51746133194394e-05	-0.898300552550362	-0.327886871091077	98.1408673434971	0.453397301420625	PPARA	0.888509640743108	0.838117106383386	0.941932070925091	7.24540236306024e-05	0.874917674737325	0.806055779346232	0.949662488852355	0.00139918950062471	PPARA
